field,value
"Image Sensor","1/1.8\" Progressive Scan CMOS"
"Max. Resolution","4608 × 2592"
"Min. Illumination","Color: 0.005 Lux @ (F1.6, AGC ON),0 Lux with light"
"Shutter Time","1 s to 1/100,000 s"
"Day & Night","IR cut filter"
"Angle Adjustment","Pan: 0° to 360°,tilt: 0° to 90°,rotate: 0° to 360°"
"Lens Type","Fixed focal lens, 2.8, 4, and 6 mm optional"
"Focal Length & FOV","2.8 mm, horizontal FOV 94.2°, vertical FOV 51.1°, diagonal FOV 110.2°\n4 mm, horizontal FOV 73.1°, vertical FOV 40.2°, diagonal FOV 84.8°\n6 mm, horizontal FOV 47°, vertical FOV 25.6°, diagonal FOV 54.6°"
"Lens Mount","M16"
"Iris Type","Fixed"
"Aperture","F1.6"
"Depth Of Field","2.8 mm: 2.9 m to ∞\n4 mm: 3.5 m to ∞\n6 mm: 8.3 m to ∞"
"DORI","2.8 mm, D: 117 m, O: 46 m, R: 23 m, I: 11 m\n4 mm, D: 148 m, O: 59 m, R: 29 m, I: 14 m\n6 mm, D: 236 m, O: 93 m, R: 47 m, I: 23 m"
"Supplement Light Type","IR,White Light"
"Supplement Light Range","Up to 40 m"
"Smart Supplement Light","Yes"
"IR Wavelength","850 nm"
"Main Stream","50Hz：\n20fps(4608 × 2592)\n25fps(3840 × 2160, 2688 × 1520, 1920 × 1080, 1280 × 720)\n60Hz：\n20fps(4608 × 2592)\n30fps(3840 × 2160, 2688 × 1520, 1920 × 1080, 1280 × 720)"
"Sub-Stream","50 Hz: 25 fps (1280 × 720, 640 × 480, 640 × 360)\n60 Hz: 30 fps (1280 × 720, 640 × 480, 640 × 360)"
"Third Stream","50 Hz: 10 fps (1920 × 1080, 1280 × 720, 640 × 480, 640 × 360)\n60 Hz: 10 fps (1920 × 1080, 1280 × 720, 640 × 480, 640 × 360)\n*Third stream is supported under certain settings."
"Video Compression","Main stream: H.265/H.264/H.264+/H.265+,\nSub-stream: H.265/H.264/MJPEG,\nThird stream: H.265/H.264,\n*Third stream is supported under certain settings."
"Video Bit Rate","32 Kbps to 20 Mbps"
"H.264 Type","Baseline Profile,Main Profile,High Profile"
"H.265 Type","Main Profile"
"Scalable Video Coding (SVC)","H.264 and H.265 encoding"
"Bit Rate Control","CBR,VBR"
"Region Of Interest (ROI)","1 fixed region for main stream"
"Target Cropping","Yes"
"Audio Type","-U:Mono sound"
"Audio Compression","-U:G.711/G.722.1/G.726/MP2L2/PCM/MP3/AAC-LC"
"Audio Bit Rate","-U: 64 Kbps (G.711ulaw/G.711alaw)/16 Kbps (G.722.1)/16 Kbps (G.726)/32 to 192 Kbps (MP2L2)/8 to 320 Kbps (MP3)/16 to 64 Kbps (AAC-LC)"
"Audio Sampling Rate","-U: 8 kHz/16 kHz/32 kHz/48 kHz"
"Environment Noise Filtering","-U: Yes"
"Protocols","TCP/IP, ICMP, HTTP, HTTPS, FTP, DHCP, DNS, DDNS, RTP, RTSP, RTCP, NTP, UPnP, SMTP, IGMP, 802.1X, QoS, IPv4, IPv6, UDP, Bonjour, SSL/TLS, PPPoE, SNMP, WebSocket, WebSockets, SRTP, SFTP"
"Simultaneous Live View","Up to 6 channels"
"API","ONVIF (Profile S, Profile G, Profile T),ISAPI,SDK,ISUP"
"Security","Password protection, complicated password, HTTPS encryption, 802.1X authentication (EAP-TLS, EAP-LEAP, EAP-MD5), watermark, IP address filter, basic and digest authentication for HTTP/HTTPS, WSSE and digest authentication for Open Network Video Interface, RTP/RTSP over HTTPS, control timeout settings, security audit log, TLS 1.1/1.2/1.3, host authentication (MAC address)"
"User/Host","Up to 32 users\n3 user levels: administrator, operator, and user"
"Client","iVMS-4200,Hik-Connect,Hik-Central"
"Network Storage","NAS (NFS, SMB/CIFS),Auto Network Replenishment (ANR)"
"Web Browser","Plug-in free live view: Chrome 80+, Firefox 80+, Edge 89+,\nLocal service: Chrome 80+, Firefox 80+, Edge 89+"
"Image Parameters Switch","Yes"
"Day/Night Switch","Day,Night,Auto,Schedule"
"Image Settings","Rotate mode,saturation,brightness,contrast,sharpness,gain,white balance,adjustable by client software or web browser"
"Wide Dynamic Range (WDR)","120 dB"
"SNR","≥ 52 dB"
"Image Enhancement","BLC,HLC,3D DNR,Distortion Correction,Defog"
"Privacy Mask","4 programmable polygon privacy masks"
"Ethernet Interface","1 RJ45 10 M/100 M self-adaptive Ethernet port"
"On-Board Storage","Built-in memory card slot, support microSD/microSDHC/microSDXC card, up to 512 GB"
"Reset Key","Yes"
"Audio","-U: Built-in Single-microphone\nOther: No microphone"
"Basic Event","Motion detection (support alarm triggering by specified target types (human and vehicle)),video tampering alarm,exception"
"Smart Event","Scene change detection"
"Linkage","Upload to FTP/NAS/memory card,notify surveillance center,trigger recording,trigger capture,send email"
"Face Capture","Yes"
"Perimeter Protection","Line crossing, intrusion, region entrance, region exiting\nSupport alarm triggering by specified target types (human and vehicle)"
"Power","12 VDC ± 25%, 0.8 A, max. 9.6 W,reverse polarity protection,Ø5.5 mm coaxial power plug,\nPoE: IEEE 802.3af, Class 3, max. 11.5 W"
"Material","Metal"
"Dimension","Ø74.4 mm × 176.3 mm (Ø2.93\" × 6.94\")"
"Package Dimension","234 mm × 120 mm × 117 mm (9.21\" × 4.72\" × 4.61\")"
"Weight","Approx. 515 g (1.1 lb.)"
"With Package Weight","Approx. 760 g (1.7 lb.)"
"Storage Conditions","-30 °C to 60 °C (-22 °F to 140 °F). Humidity 95% or less (non-condensing)"
"Startup And Operating Conditions","-30 °C to 60 °C (-22 °F to 140 °F). Humidity 95% or less (non-condensing)"
"Language","33 languages: English, Russian, Estonian, Bulgarian, Hungarian, Greek, German, Italian, Czech, Slovak, French, Polish, Dutch, Portuguese, Spanish, Romanian, Danish, Swedish, Norwegian, Finnish, Croatian, Slovenian, Serbian, Turkish, Korean, Traditional Chinese, Thai, Vietnamese, Japanese, Latvian, Lithuanian, Portuguese (Brazil), Ukrainian"
"General Function","Heartbeat,mirror,flash log,password reset via email,pixel counter,anti-banding"
"EMC","CE-EMC: EN 55032:2015+A1:2020, EN 50130-4:2011+A1:2014, EN IEC 61000-3-2:2019+A1:2021, EN 61000-3-3:2013+A1:2019+A2:2021"
"Safety","CB: IEC 62368-1: 2014+A11,\nCE-LVD: EN 62368-1: 2014/A11: 2017"
"Environment","CE-RoHS: 2011/65/EU,\nWEEE: 2012/19/EU,\nReach: Regulation (EC) No 1907/2006"
"Protection","IP67: IEC 60529-2013"
"Anti-Corrosion Protection","NEMA 4X (NEMA 250-2018)"
